action,en,name,kind,category,source
added,Major Town Houses of the Architect Victor Horta (Brussels),Городские особняки архитектора Виктора Орта в Брюсселе,human,city,unesco_full
added,Neolithic Flint Mines at Spiennes (Mons),"Неолитические каменоломни в районе Спьенн, окрестности города Монс",human,architecture,unesco_full
added,Notre-Dame Cathedral in Tournai,Кафедральный собор Нотр-Дам в городе Турне,human,sacred,unesco_full
added,Plantin-Moretus House-Workshops-Museum Complex,Музейный комплекс издательства и типографии Плантен-Моретюс (Антверпен),human,architecture,unesco_full
added,Stoclet House,Stoclet House,human,architecture,unesco_full
added,Major Mining Sites of Wallonia,Major Mining Sites of Wallonia,human,engineering,unesco_full
added,Royal Palaces of Abomey,Королевские дворцы Абомея,human,architecture,unesco_full
added,City of Potosí,Горнозаводской город Потоси,human,city,unesco_full
added,Jesuit Missions of the Chiquitos,Иезуитские миссии на землях индейцев чикитос,human,architecture,unesco_full
added,Historic City of Sucre,Исторический город Сукре,human,city,unesco_full
added,Tiwanaku: Spiritual and Political Centre of the Tiwanaku Culture,Древний город Тиауанако: духовный и политический центр доиспанской индейской культуры,human,architecture,unesco_full
added,Fuerte de Samaipata,Археологический памятник Фуэрте-де-Самайпата,human,architecture,unesco_full
added,Old Bridge Area of the Old City of Mostar,Район Старого моста в историческом центре города Мостар,human,engineering,unesco_full
added,Mehmed Paša Sokolović Bridge in Višegrad,Мост Мехмеда Паши Соколовича в Вышеграде,human,engineering,unesco_full
updated,Tsodilo,Наскальная живопись в районе Цодило,human,architecture,unesco_full
added,Historic Town of Ouro Preto,Исторический город Ору-Прету,human,city,unesco_full
added,Historic Centre of the Town of Olinda,Исторический центр города Олинда,human,city,unesco_full
added,Historic Centre of Salvador de Bahia,Исторический центр города Салвадор-ди-Баия,human,city,unesco_full
added,Sanctuary of Bom Jesus do Congonhas,Церковный комплекс Бон-Жесус-ду-Конгоньяс,human,sacred,unesco_full
added,Brasilia,Город Бразилиа,human,architecture,unesco_full
added,Serra da Capivara National Park,Национальный парк Серра-да-Капивара,human,architecture,unesco_full
added,Historic Centre of São Luís,Исторический центр города Сан-Луис,human,city,unesco_full
added,Historic Centre of the Town of Diamantina,Исторический центр города Диамантина,human,city,unesco_full
added,Historic Centre of the Town of Goiás,Исторический центр города Гояс,human,city,unesco_full
added,Rio de Janeiro: Carioca Landscapes between the Mountain and the Sea,Rio de Janeiro: Carioca Landscapes between the Mountain and the Sea,human,architecture,unesco_full
added,São Francisco Square in the Town of São Cristóvão,Площадь Сан Франсиско в городе Сан Кристовао,human,city,unesco_full
updated,Paraty and Ilha Grande – Culture and Biodiversity,Парати и Илья-Гранди – культура и биоразнообразие,mixed,mixed_landscape,unesco_full
added,Pampulha Modern Ensemble,Комплекс Пампулья в стиле модерн,human,architecture,unesco_full
added,Valongo Wharf Archaeological Site,Valongo Wharf Archaeological Site,human,architecture,unesco_full
added,Sítio Roberto Burle Marx,Сад Роберто Бурле-Маркса,human,architecture,unesco_full
added,Boyana Church,Боянская церковь (София),human,sacred,unesco_full
added,Madara Rider,Мадарский всадник,human,architecture,unesco_full
added,Thracian Tomb of Kazanlak,Фракийская гробница в городе Казанлык,human,archaeology,unesco_full
added,Rock-Hewn Churches of Ivanovo,Скальные церкви у села Иваново,human,architecture,unesco_full
added,Rila Monastery,Рильский монастырь,human,sacred,unesco_full
added,Ancient City of Nessebar,Старый город в Несебыре,human,archaeology,unesco_full
added,Thracian Tomb of Sveshtari,Фракийская гробница в Свештарах,human,archaeology,unesco_full
added,Ruins of Loropéni,Ruins of Loropéni,human,archaeology,unesco_full
added,Ancient Ferrous Metallurgy Sites of Burkina Faso,Памятники древней металлургии,human,archaeology,unesco_full
added,Royal Court of Tiébélé,Королевский двор Тьебеле,human,architecture,unesco_full
added,"Cidade Velha, Historic Centre of Ribeira Grande","Cidade Velha, Historic Centre of Ribeira Grande",human,city,unesco_full
added,Angkor,Ангкор,human,architecture,unesco_full
added,Temple of Preah Vihear,Храм Преах Вихеар,human,sacred,unesco_full
added,"Temple Zone of Sambor Prei Kuk, Archaeological Site of Ancient Ishanapura","Temple Zone of Sambor Prei Kuk, Archaeological Site of Ancient Ishanapura",human,sacred,unesco_full
added,Koh Ker: Archaeological Site of Ancient Lingapura or Chok Gargyar,Кох Кер: Археологический памятник древнего Лингапура или Чок Гаргьяр,human,archaeology,unesco_full
added,Cambodian Memorial Sites: From centres of repression to places of peace and reflection,Мемориальные комплексы Камбоджи: От центров репрессий к пространствам мира и осмысления,human,monument,unesco_full
added,Diy-Gid-Biy Cultural Landscape of the Mandara Mountains,Культурный ландшафт Дий-Гид-Бий в горах Мандара,human,architecture,unesco_full
added,L’Anse aux Meadows National Historic Site,Национальный исторический парк Л’Анс-о-Медоус,human,architecture,unesco_full
added,S<U>G</U>ang Gwaay,Остров Энтони,human,architecture,unesco_full
added,Head-Smashed-In Buffalo Jump,Место охоты на бизонов - «Хэд-Смешт-Ин-Баффало-Джамп-Комплекс»,human,architecture,unesco_full
added,Historic District of Old Québec,Исторический район города Квебек,human,architecture,unesco_full
added,Old Town Lunenburg,Исторический город Луненберг,human,city,unesco_full
added,Rideau Canal,Канал Ридо,human,engineering,unesco_full
added,Landscape of Grand Pré,Landscape of Grand Pré,human,architecture,unesco_full
added,Red Bay Basque Whaling Station,Red Bay Basque Whaling Station,human,architecture,unesco_full
updated,Pimachiowin Aki,Пимачиовин Аки,mixed,mixed_landscape,unesco_full
added,Tr’ondëk-Klondike,Трондек-Клондайк,human,architecture,unesco_full
added,Writing-on-Stone / Áísínai’pi,Райтинг-он-Стоун/Áisínai'pi,human,architecture,unesco_full
updated,Ennedi Massif: Natural and Cultural Landscape,Природно-культурный ландшафт горного плато Эннеди,mixed,mixed_landscape,unesco_full
added,Rapa Nui National Park,Национальный парк Рапануи (остров Пасхи),human,architecture,unesco_full
added,Historic Quarter of the Seaport City of Valparaíso,Историческая часть портового города Вальпараисо,human,city,unesco_full
added,Churches of Chiloé,Церкви на островах Чилоэ,human,architecture,unesco_full
added,Humberstone and Santa Laura Saltpeter Works,Производства селитры Хамберстон и Санта-Лаура,human,sacred,unesco_full
added,Sewell Mining Town,Шахтерский город Сьюэлл,human,engineering,unesco_full
added,Settlement and Artificial Mummification of the Chinchorro Culture in the Arica and Parinacota Region,Поселение и искусственная мумификация культуры Чинчорро в регионе Арика и Паринакота,human,architecture,unesco_full
updated,Mount Taishan,Гора Тайшань,mixed,mixed_landscape,unesco_full
added,The Great Wall,Великая Китайская Стена,human,fortress,unesco_full
added,Imperial Palaces of the Ming and Qing Dynasties in Beijing and Shenyang,Дворцы императоров династий Мин и Цин в Пекине и Шэньяне,human,architecture,unesco_full
added,Mogao Caves,Пещеры Могао,human,architecture,unesco_full
added,Mausoleum of the First Qin Emperor,Гробница первого императора династии Цинь,human,monument,unesco_full
added,Peking Man Site at Zhoukoudian,Стоянка «пекинского человека» в Чжоукоудяне,human,architecture,unesco_full
updated,Mount Huangshan,Гора Хуаншань,mixed,mixed_landscape,unesco_full
added,"Mountain Resort and its Outlying Temples, Chengde",Горная императорская резиденция и окружающие его храмы в Чэндэ,human,architecture,unesco_full
added,Temple and Cemetery of Confucius and the Kong Family Mansion in Qufu,Храм и гробница Конфуция и имение семьи Кун в городе Цюйфу,human,sacred,unesco_full
added,Ancient Building Complex in the Wudang Mountains,Комплекс древних строений в горах Уданшань,human,archaeology,unesco_full
added,"Historic Ensemble of the Potala Palace, Lhasa",Исторический ансамбль дворца Потала в городе Лхаса,human,fortress,unesco_full
added,Lushan National Park,Национальный парк Лушань,human,architecture,unesco_full
added,"Mount Emei Scenic Area, including Leshan Giant Buddha Scenic Area",Гора Эмэйшань и статуя «Большой Будда» в Лэшани,mixed,mixed_landscape,unesco_full
added,Old Town of Lijiang,Старый город Лицзян,human,city,unesco_full
added,Ancient City of Ping Yao,Исторический город Пинъяо,human,archaeology,unesco_full
added,Classical Gardens of Suzhou,Классические сады в городе Сучжоу,human,architecture,unesco_full
added,"Summer Palace, an Imperial Garden in Beijing",Летний дворец и императорский парк в Пекине,human,fortress,unesco_full
added,Temple of Heaven: an Imperial Sacrificial Altar in Beijing,Храм Неба: императорский жертвенный алтарь в Пекине,human,sacred,unesco_full
updated,Mount Wuyi,Горы Уишань,mixed,mixed_landscape,unesco_full
added,Dazu Rock Carvings,Наскальные рельефы в Дацзу,human,architecture,unesco_full
added,Mount Qingcheng and the Dujiangyan Irrigation System,Гора Цинчэншань и древняя оросительная система Дуцзянъянь,human,architecture,unesco_full
added,Ancient Villages in Southern Anhui – Xidi and Hongcun,Старинные деревни Сиди и Хунцунь на юге провинции Аньхой,human,archaeology,unesco_full
added,Longmen Grottoes,Пещерные храмы Лунмэнь,human,architecture,unesco_full
added,Imperial Tombs of the Ming and Qing Dynasties,Гробницы императоров династий Мин и Цин,human,architecture,unesco_full
added,Yungang Grottoes,Пещерные храмы Юньган,human,architecture,unesco_full
added,Historic Centre of Macao,Исторический центр города Макао (Аомынь),human,city,unesco_full
added,Cultural Landscape of Honghe Hani Rice Terraces,Cultural Landscape of Honghe Hani Rice Terraces,human,architecture,unesco_full
added,Kaiping Diaolou and Villages,Диаолоу и деревни Кайпинга,human,city,unesco_full
added,Fujian <em>Tulou</em>,Тулоу провинции Фуцзянь,human,architecture,unesco_full
added,Yin Xu,Древний город Иньсюй,human,architecture,unesco_full
added,Capital Cities and Tombs of the Ancient Koguryo Kingdom,Столичные города и гробницы древнего царства Когурё,human,archaeology,unesco_full
added,Mount Wutai,Mount Wutai,human,architecture,unesco_full
added,Historic Monuments of Dengfeng in “The Centre of Heaven and Earth”,Исторические памятники Деньфень в «Центре Неба и Земли»,human,architecture,unesco_full
added,West Lake Cultural Landscape of Hangzhou,West Lake Cultural Landscape of Hangzhou,human,architecture,unesco_full
added,Site of Xanadu,Site of Xanadu,human,architecture,unesco_full
added,The Grand Canal,The Grand Canal,human,engineering,unesco_full
added,Tusi Sites,Архитектурный комплекс китайских правителей «тусы»,human,architecture,unesco_full
added,Zuojiang Huashan Rock Art Cultural Landscape,Zuojiang Huashan Rock Art Cultural Landscape,human,archaeology,unesco_full
added,"Kulangsu, a Historic International Settlement","Kulangsu, a Historic International Settlement",human,architecture,unesco_full
added,Quanzhou: Emporium of the World in Song-Yuan China,Цюаньчжоу: мировой центр торговли в Китае эпохи династий Сун-Юань,human,architecture,unesco_full
added,Archaeological Ruins of Liangzhu City,Руины древнего города Лянчжу,human,archaeology,unesco_full
added,Cultural Landscape of Old Tea Forests of the Jingmai Mountain in Pu’er,Культурный ландшафт древних чайных лесов горы Цзинмай в Пуэре,human,architecture,unesco_full
added,Beijing Central Axis: A Building Ensemble Exhibiting the Ideal Order of the Chinese Capital,"Центральная ось Пекина: архитектурный ансамбль, представляющий идеальный порядок китайской столицы",human,architecture,unesco_full
added,Xixia Imperial Tombs,Императорские гробницы Си Ся,human,architecture,unesco_full
added,"Port, Fortresses and Group of Monuments, Cartagena","Порт, укрепления и памятники города Картахена",human,architecture,unesco_full
added,Historic Centre of Santa Cruz de Mompox,Исторический центр города Санта-Крус-де-Момпокс,human,city,unesco_full
added,National Archeological Park of Tierradentro,Национальный археологический парк Тьеррадентро,human,architecture,unesco_full
added,San Agustín Archaeological Park,Археологический парк Сан-Агустин,human,architecture,unesco_full
added,Coffee Cultural Landscape of Colombia,Кофейный культурный ландшафт Колумбии,human,architecture,unesco_full
updated,Chiribiquete National Park – “The Maloca of the Jaguar”,Национальный парк Чирибикете - «Малока клана Ягуара»,mixed,mixed_landscape,unesco_full
added,Precolumbian Chiefdom Settlements with Stone Spheres of the Diquís,Precolumbian Chiefdom Settlements with Stone Spheres of the Diquís,human,architecture,unesco_full
added,Historic Town of Grand-Bassam,Historic Town of Grand-Bassam,human,city,unesco_full
added,Sudanese style mosques in northern Côte d’Ivoire,Мечети в суданском стиле на севере Кот-д'Ивуара,human,architecture,unesco_full
added,Old City of Dubrovnik,Старый город в Дубровнике,human,city,unesco_full
added,Historical Complex of Split with the Palace of Diocletian,Исторический центр города Сплит с дворцом Диоклетиана,human,fortress,unesco_full
added,Episcopal Complex of the Euphrasian Basilica in the Historic Centre of Poreč,Комплекс базилики епископа Ефразия в историческом центре города Пореч,human,sacred,unesco_full
added,Historic City of Trogir,Исторический город Трогир,human,city,unesco_full
added,The Cathedral of St James in Šibenik,Кафедральный собор Св. Иакова в городе Шибеник,human,sacred,unesco_full
added,Stari Grad Plain,Долина Старого города,human,architecture,unesco_full
added,Old Havana and its Fortification System,Старая Гавана и ее укрепления,human,architecture,unesco_full
updated,Trinidad and the Valley de los Ingenios,Город Тринидад и долина Де-лос-Инхеньос,human,architecture,unesco_full
updated,Viñales Valley,Культурный ландшафт долины Виньялес,human,architecture,unesco_full
added,"San Pedro de la Roca Castle, Santiago de Cuba",Крепость Сан-Педро-де-ла-Рока в городе Сантьяго-де-Куба,human,fortress,unesco_full
added,Archaeological Landscape of the First Coffee Plantations in the South-East of Cuba,Археологический ландшафт первых кофейных плантаций на юго-востоке Кубы,human,architecture,unesco_full
added,Urban Historic Centre of Cienfuegos,Исторический центр города Сьенфуэгос,human,city,unesco_full
added,Historic Centre of Camagüey,Исторический центр Камагуэя,human,city,unesco_full
added,Paphos,Древний город Пафос,human,architecture,unesco_full
added,Painted Churches in the Troodos Region,Церкви с росписями в районе Троодос,human,architecture,unesco_full
added,Choirokoitia,Поселение неолита Хирокития,human,architecture,unesco_full
added,Historic Centre of Prague,Исторический центр Праги,human,city,unesco_full
added,Historic Centre of Český Krumlov,Исторический центр города Чески-Крумлов,human,city,unesco_full
added,Historic Centre of Telč,Исторический центр города Тельч,human,city,unesco_full
added,Pilgrimage Church of St John of Nepomuk at Zelená Hora,Паломническая церковь Св. Яна Непомуцкого на Зеленой Горе (город Ждяр-над-Сазавоу),human,sacred,unesco_full
added,Kutná Hora: Historical Town Centre with the Church of St Barbara and the Cathedral of Our Lady at Sedlec,Кутна-Гора: исторический центр города с церковью Св. Варвары и кафедральным собором Богородицы в Седлеце,human,sacred,unesco_full
added,Lednice-Valtice Cultural Landscape,Культурный ландшафт Леднице-Вальтице,human,architecture,unesco_full
added,Holy Trinity Column in Olomouc,Колонна Св. Троицы в городе Оломоуц,human,architecture,unesco_full
added,Gardens and Castle at Kroměříž,Сады и замок Кромерица,human,fortress,unesco_full
added,Holašovice Historic Village,Историческая деревня Голешовице,human,city,unesco_full
added,Litomyšl Castle,Замок в городе Литомишль,human,fortress,unesco_full
added,Tugendhat Villa in Brno,Вилла Тугендгат в городе Брно,human,architecture,unesco_full
added,Jewish Quarter and St Procopius' Basilica in Třebíč,Еврейский район и базилика Св. Прокопа в городе Тршебич,human,sacred,unesco_full
added,Žatec and the Landscape of Saaz Hops,Жатец и ландшафт жатецкого хмеля,human,architecture,unesco_full
added,Landscape for Breeding and Training of Ceremonial Carriage Horses at Kladruby nad Labem,Ландшафт для разведения и дрессуры упряжных лошадей в Кладрубах-над-Лабем,human,architecture,unesco_full
added,Complex of Koguryo Tombs,Комплекс гробниц Когурё,human,architecture,unesco_full
added,Historic Monuments and Sites in Kaesong,Historic Monuments and Sites in Kaesong,human,architecture,unesco_full
added,Mount Kumgang – Diamond Mountain from the Sea,Гора Кымгансан — Алмазная гора моря,mixed,mixed_landscape,unesco_full
added,Roskilde Cathedral,Кафедральный собор в городе Роскилле,human,sacred,unesco_full
added,Kronborg Castle,Замок Кронборг,human,fortress,unesco_full
added,"Jelling Mounds, Runic Stones and Church","Могильные холмы, рунические камни и церковь в Еллинге",human,sacred,unesco_full
added,The par force hunting landscape in North Zealand,Охотничьи угодья Северной Зеландии,human,architecture,unesco_full
added,Kujataa Greenland: Norse and Inuit Farming at the Edge of the Ice Cap,Kujataa Greenland: Norse and Inuit Farming at the Edge of the Ice Cap,human,architecture,unesco_full
added,Aasivissuit – Nipisat. Inuit Hunting Ground between Ice and Sea,Aasivissuit-Nipisat. Инуитские охотничьи угодья между морем и льдами,human,architecture,unesco_full
added,Viking-Age Ring Fortresses,Кольцевые крепости эпохи викингов,human,architecture,unesco_full
added,Colonial City of Santo Domingo,Колониальный город Санто-Доминго,human,city,unesco_full
added,City of Quito,Город Кито,human,city,unesco_full
added,Historic Centre of Santa Ana de los Ríos de Cuenca,Исторический центр города Санта-Ана-де-лос-Риос-де-Куэнка,human,city,unesco_full
added,Memphis and its Necropolis – the Pyramid Fields from Giza to Dahshur,Мемфис и его некрополи - район пирамид от Гизы до Дахшура,human,archaeology,unesco_full
added,Ancient Thebes with its Necropolis,Древние Фивы с их некрополями,human,archaeology,unesco_full
added,Nubian Monuments from Abu Simbel to Philae,Памятники Нубии от Абу-Симбел до Филэ,human,architecture,unesco_full
added,Historic Cairo,Исламский Каир,human,architecture,unesco_full
added,Abu Mena,Раннехристианские памятники в Абу-Мена,human,architecture,unesco_full
added,Saint Catherine Area,Монастырь Св. Екатерины с окрестностями,human,architecture,unesco_full
added,Joya de Cerén Archaeological Site,Археологические памятники древнего поселения Хойя-де-Серен,human,architecture,unesco_full
added,Asmara: A Modernist African City,Asmara: A Modernist African City,human,city,unesco_full
added,Historic Centre (Old Town) of Tallinn,Исторический центр (Старый город) Таллинна,human,city,unesco_full
added,Lower Valley of the Awash,Долина нижнего течения реки Аваш,human,architecture,unesco_full
added,Tiya,Археологические памятники Тийа,human,architecture,unesco_full
added,Melka Kunture and Balchit: Archaeological and Palaeontological Sites in the Highland Area of Ethiopia,Археологические и палеонтологические объекты Мелка-Контуре и Балхит в высокогорном районе Эфиопии,human,architecture,unesco_full
added,Aksum,Древний город Аксум,human,architecture,unesco_full
added,Lower Valley of the Omo,Долина нижнего течения реки Омо,human,architecture,unesco_full
added,"Rock-Hewn Churches, Lalibela",Скальные церкви в Лалибэле,human,architecture,unesco_full
added,"Fasil Ghebbi, Gondar Region","Крепость Фасил-Гебби, район города Гондэр",human,architecture,unesco_full
added,"Harar Jugol, the Fortified Historic Town",Укрепленный исторический город Харар-Джуголь,human,city,unesco_full
added,Konso Cultural Landscape,Культурный ландшафт Консо,human,architecture,unesco_full
added,The Gedeo Cultural Landscape,Культурный ландшафт Гедео,human,architecture,unesco_full
added,Levuka Historical Port Town,Levuka Historical Port Town,human,city,unesco_full
added,Bronze Age Burial Site of Sammallahdenmäki,Погребальный комплекс бронзового века Саммаллахденмяки,human,architecture,unesco_full
added,Old Rauma,Старая часть города Раума,human,architecture,unesco_full
added,Fortress of Suomenlinna,Крепость Суоменлинна (Хельсинки),human,fortress,unesco_full
added,Petäjävesi Old Church,Старая церковь в деревне Петяявеси,human,sacred,unesco_full
added,Verla Groundwood and Board Mill,Деревоперерабатывающая фабрика в Верле,human,engineering,unesco_full
added,Mont-Saint-Michel and its Bay,Ансамбль Мон-Сен-Мишель с заливом,human,architecture,unesco_full
added,Chartres Cathedral,Кафедральный собор в городе Шартр,human,sacred,unesco_full
added,Palace and Park of Versailles,Дворец и парк в Версале,human,fortress,unesco_full
added,"Vézelay, Church and Hill",Церковь и холм в Везле,human,sacred,unesco_full
added,Prehistoric Sites and Decorated Caves of the Vézère Valley,Наскальные рисунки в пещерах по реке Везер,human,archaeology,unesco_full
added,Palace and Park of Fontainebleau,Дворец и парк Фонтенбло,human,fortress,unesco_full
added,Amiens Cathedral,Кафедральный собор в городе Амьен,human,sacred,unesco_full
added,"Roman Theatre and its Surroundings and the ""Triumphal Arch"" of Orange",Древнеримский театр с окружением и триумфальная арка в городе Оранж,human,architecture,unesco_full
added,"Arles, Roman and Romanesque Monuments",Древнеримские и романские памятники в городе Арль,human,architecture,unesco_full
added,Cistercian Abbey of Fontenay,Цистерцианский монастырь Фонтене,human,sacred,unesco_full
added,"From the Great Saltworks of Salins-les-Bains to the Royal Saltworks of Arc-et-Senans, the Production of Open-pan Salt","From the Great Saltworks of Salins-les-Bains to the Royal Saltworks of Arc-et-Senans, the Production of Open-pan Salt",human,architecture,unesco_full
added,"Historic Centre of Avignon: Papal Palace, Episcopal Ensemble and Avignon Bridge",Исторический центр города Авиньон,human,engineering,unesco_full
added,"Place Stanislas, Place de la Carrière and Place d'Alliance in Nancy","Площади Плас-Станислас, Плас-де-ла-Карьер и Плас-д'Альянс в городе Нанси",human,architecture,unesco_full
added,Abbey Church of Saint-Savin sur Gartempe,Церковь Сен-Савен-сюр-Гартан,human,sacred,unesco_full
added,Pont du Gard (Roman Aqueduct),Древнеримский акведук Пон-дю-Гар,human,engineering,unesco_full
added,Historic Fortified City of Carcassonne,Исторический укрепленный город Каркасон,human,city,unesco_full
added,"Strasbourg, Grande-Île and <em>Neustadt</em>","Strasbourg, Grande-Île and <em>Neustadt</em>",human,architecture,unesco_full
added,"Paris, Banks of the Seine",Берега Сены в Париже,human,architecture,unesco_full
added,"Cathedral of Notre-Dame, Former Abbey of Saint-Rémi and Palace of Tau, Reims","Кафедральный собор Нотр-Дам, бывший монастырь Сен-Реми и дворец То в городе Реймс",human,sacred,unesco_full
added,Bourges Cathedral,Кафедральный собор в городе Бурж,human,sacred,unesco_full
added,Canal du Midi,Каналь-Дю-Миди (Южный канал),human,engineering,unesco_full
added,Routes of Santiago de Compostela in France,"Дороги во Франции, ведущие в Сантьяго-де-Компостела",human,architecture,unesco_full
added,Historic Site of Lyon,Историческая часть города Лион,human,architecture,unesco_full
added,"Provins, Town of Medieval Fairs","Провен, город средневековых ярмарок",human,city,unesco_full
added,Jurisdiction of Saint-Emilion,Винодельческий район Сент-Эмильон,human,architecture,unesco_full
added,The Loire Valley between Sully-sur-Loire and Chalonnes,Долина Луары от Сюлли-сюр-Луар до Шалона,human,architecture,unesco_full
added,"The Causses and the Cévennes, Mediterranean agro-pastoral Cultural Landscape","Коcы и Севены, средиземноморский агро-пастбищный культурный ландшафт",human,architecture,unesco_full
added,"Le Havre, the City Rebuilt by Auguste Perret","Гавр – город, восстановленный Огюстом Перре",human,city,unesco_full
added,"Bordeaux, Port of the Moon",Порт Луны,human,architecture,unesco_full
added,Fortifications of Vauban,Архитектурное наследие Вобана,human,architecture,unesco_full
added,Episcopal City of Albi,Епископский город Альби,human,city,unesco_full
