issues,en,name,country,kind,category,tags,wikiEnTitle,wikiRuTitle,image
missing_wiki_ru,Congolian rainforests,Лес Конго-Базин,ДР Конго / Габон,natural,forest,,Congolian rainforests,,https://upload.wikimedia.org/wikipedia/commons/d/d1/Photo_of_the_day_11.10.2015_%2821868921339%29.jpg
missing_wiki_ru,Yarlung Tsangpo Grand Canyon,Каньон Ярлунг-Цангпо,Китай (Тибет),natural,desert,,Yarlung Tsangpo Grand Canyon,,https://upload.wikimedia.org/wikipedia/commons/e/e8/Yarlung_Zangpo_Grand_Canyon%2C_Tibet.jpg
missing_wiki_ru,Salar de Arizaro,Салар-де-Арисаро,Аргентина,natural,desert,,Salar de Arizaro,,https://upload.wikimedia.org/wikipedia/commons/8/86/Cono_de_Arita_en_el_Salar_de_Arizaro.jpg
missing_wiki_ru,Hells Canyon,Хеллс-Каньон,США,natural,desert,,Hells Canyon,,https://upload.wikimedia.org/wikipedia/commons/3/36/OR_hells_canyon.jpg
missing_wiki_ru,Glen Canyon,Глен-Каньон,США,natural,desert,,Glen Canyon,,https://upload.wikimedia.org/wikipedia/commons/4/48/CANYON_OF_THE_COLORADO_RIVER_NEAR_MOUTH_OF_SAN_JUAN_RIVER_-_NARA_-_524266.jpg
missing_wiki_ru,Great Karoo,Большой Кару,ЮАР,natural,desert,,Great Karoo,,https://upload.wikimedia.org/wikipedia/commons/6/66/Map_of_Karoo.png
missing_wiki_ru|missing_image,Karymsky,Карымский,Россия,natural,volcano,,Karymsky,,
missing_wiki_ru,Gouffre de Padirac,Гуфр-де-Падирак,Франция,natural,ice_cave,,Padirac Cave,,https://upload.wikimedia.org/wikipedia/commons/2/27/Gouffre-v-hdr.jpg
missing_wiki_en|missing_wiki_ru|missing_image,Mlynki Cave,Пещеры Млынки,Украина,natural,ice_cave,,,,
missing_wiki_ru,Aggtelek Karst,Пещеры Аггтелек,Венгрия,natural,ice_cave,,Aggtelek Karst,,https://upload.wikimedia.org/wikipedia/commons/6/69/HU_subregion_6.6.1._Aggteleki-karszt.png
missing_wiki_ru,Sof Omar Caves,Соф-Омар,Эфиопия,natural,ice_cave,,Sof Omar Caves,,https://upload.wikimedia.org/wikipedia/commons/3/39/Sof_Omer_Cave%2C_Ethiopia_%2823194314604%29.jpg
missing_wiki_ru,Kartchner Caverns State Park,Сонорские пещеры,США,natural,ice_cave,,Kartchner Caverns State Park,,https://upload.wikimedia.org/wikipedia/commons/f/fc/Kartchner_Big_Room.jpg
missing_wiki_ru,Gomantong Caves,Пещеры Гомантонг,Малайзия,natural,ice_cave,,Gomantong Caves,,https://upload.wikimedia.org/wikipedia/commons/c/cf/GomantongCaves.Lauras512.jpg
missing_wiki_ru,Briksdalsbreen,Ледник Бриксдальсбреен,Норвегия,natural,ice_cave,,Briksdalsbreen,,https://upload.wikimedia.org/wikipedia/commons/0/01/Briksdalsbreen_2015.JPG
missing_image,Gilkey Glacier,Ледник Гилкей,США (Аляска),natural,ice_cave,,Art Gilkey,"Гилки, Арт",
missing_wiki_en|missing_wiki_ru|missing_image,Bolshaya Azishskaya Cave,Большая Азишская пещера,Россия,natural,ice_cave,,,,
missing_wiki_ru,Tumpak Sewu,Водопад Тумпак-Севу,Индонезия,natural,water,instagram,Tumpak Sewu Waterfalls,,https://upload.wikimedia.org/wikipedia/commons/6/65/Air_Terjun_Tumpak_Sewu.jpg
missing_wiki_ru,Sarakiniko Beach,Пляж Саракинико,Греция,natural,water,instagram,Sarakiniko Beach,,https://upload.wikimedia.org/wikipedia/commons/3/3d/Sarakibea.JPG
missing_wiki_ru,Ponta da Piedade,Понта-да-Пьедаде,Португалия,natural,mountain,instagram,Ponta da Piedade,,https://upload.wikimedia.org/wikipedia/commons/5/5a/Ponta_da_Piedade_aerial_view.jpg
missing_wiki_ru|missing_image,Seceda,Гора Сечеда,Италия,natural,mountain,instagram,Seceda,,
missing_image,Wadi Shab,Вади Шаб,Оман,natural,desert,instagram|unesco,Wadi Shab,Вади-Шаб,
missing_wiki_ru,Roys Peak,Пик Ройс,Новая Зеландия,natural,mountain,instagram,Roys Peak,,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c9/Roys_Peak_view_s.jpg/960px-Roys_Peak_view_s.jpg
missing_wiki_ru,Hokitika Gorge,Ущелье Хокитика,Новая Зеландия,natural,desert,instagram,Hokitika River,,https://upload.wikimedia.org/wikipedia/commons/4/48/Hokitika_by_air.jpg
missing_wiki_ru,Cathedral Cove,Бухта Кафедрал-Ков,Новая Зеландия,natural,water,instagram,Te Whanganui-A-Hei (Cathedral Cove) Marine Reserve,,https://upload.wikimedia.org/wikipedia/commons/0/0b/Cathedral_Cove_06.jpg
missing_wiki_ru,Las Coloradas,Розовые озера Лас-Колорадас,Мексика,natural,water,instagram,Ría Lagartos Biosphere Reserve,,https://upload.wikimedia.org/wikipedia/commons/4/4f/Flamingoes_at_R%C3%ADa_Lagartos.jpg
missing_wiki_ru,Joffre Lakes,Озера Джоффри,Канада,natural,water,instagram,Joffre Lakes Provincial Park,,https://upload.wikimedia.org/wikipedia/commons/8/8d/Upper_Joffre_Lake_-_British_Columbia%2C_Canada.jpg
missing_wiki_ru,Johnston Canyon,Каньон Джонстон,Канада,natural,desert,instagram,Johnston Creek (Alberta),,https://upload.wikimedia.org/wikipedia/commons/3/3c/JohnstonCanyonUpperFalls.jpg
missing_image,Kawachi Wisteria Garden,Сад глициний Кавати,Япония,natural,forest,instagram,Kawachi Fuji Garden,Кавати Фудзи,
missing_wiki_ru,Quiraing,Холмы Кираинг,Шотландия,natural,mountain,instagram,Quiraing,,https://upload.wikimedia.org/wikipedia/commons/9/91/North_over_the_Quiraing%2C_Isle_of_Skye.jpg
missing_wiki_ru,Grotta della Poesia,Грот Поэзии,Италия,natural,ice_cave,instagram,Roca Vecchia,,https://upload.wikimedia.org/wikipedia/commons/d/d8/Roca_vecchia_2.JPG
missing_wiki_ru,Qingshui Cliff,Утёс Циншуй,Тайвань,natural,water,instagram,Qingshui Cliff,,https://upload.wikimedia.org/wikipedia/commons/0/03/Taiwan_2009_CingShui_Cliffs_on_SuHua_Highway_FRD_6762_Pano_Extracted.jpg
missing_wiki_ru|missing_image,Vaadhoo Bioluminescent Beach,Светящийся пляж Ваадху,Мальдивы,natural,water,instagram,Vaadhoo (Raa Atoll),,
missing_wiki_ru|missing_image,To Sua Ocean Trench,Впадина То-Суа,Самоа,natural,desert,instagram,To Sua Ocean Trench,,
missing_wiki_ru|missing_image,Spirit Island,Спирит-Айленд,Канада,natural,water,instagram,Spirit Island,,
missing_image,Vale da Lua,Лунная долина,Бразилия,natural,desert,instagram,Vale da Lua,Лунная долина (Бразилия),
missing_image,Cono de Arita,Коно-де-Арита,Аргентина,natural,mountain,instagram,Cono de Arita,Коно-де-Арита,
missing_wiki_ru,Apostle Islands Ice Caves,Ледяные пещеры островов Апосл,США,natural,ice_cave,instagram,Apostle Islands National Lakeshore,,https://upload.wikimedia.org/wikipedia/commons/3/3f/Big_waves_on_Devils_Island_shoreline_%28e99f5cd1-548c-439d-962d-0c03204c2bf8%29.jpg
missing_wiki_ru|missing_image,Goa Jomblang,Пещера Джомбланг,Индонезия,natural,ice_cave,instagram,Jomblang Cave,,
missing_wiki_ru,Tianzi Mountain,Горы Тяньцзы,Китай,natural,mountain,instagram|unesco,Tianzi Mountain,,https://upload.wikimedia.org/wikipedia/commons/5/57/China_Tianzi_Gebirge.JPG
missing_image,Takachiho Gorge,Ущелье Такачихо,Япония,natural,desert,instagram,Takachiho Gorge,Ущелье Такатихо,
missing_wiki_ru|missing_image,Edge of the World,Скала Край Света,Саудовская Аравия,natural,mountain,instagram,Jebel Fihrayn,,
missing_image,Dachstein Ice Cave,Дахштайнская ледяная пещера,Австрия,natural,ice_cave,instagram,Dachstein Caves,Дахштайн,
missing_wiki_ru|missing_image,Champagne Beach,Пляж Шампань,Вануату,natural,water,instagram,Champagne Beach,,
missing_wiki_ru,Mount Otemanu,Гора Отеману,Французская Полинезия,natural,mountain,instagram,Mount Otemanu,,https://upload.wikimedia.org/wikipedia/commons/1/1c/Borabora-2.jpg
missing_image,"Vjetrenica Cave, Ravno","Пещера Ветреница, Равно",Bosnia and Herzegovina,natural,ice_cave,unesco,"Vjetrenica Cave, Ravno","Пещера Ветреница, Равно",
missing_image,Brazilian Atlantic Islands: Fernando de Noronha and Atol das Rocas Reserves,Бразильские острова в Атлантике: Фернанду-ди-Норонья и атолл Рокас,Brazil,natural,water,unesco,Brazilian Atlantic Islands: Fernando de Noronha and Atol das Rocas Reserves,Бразильские острова в Атлантике: Фернанду-ди-Норонья и атолл Рокас,
missing_image,Paraty and Ilha Grande – Culture and Biodiversity,Парати и Илья-Гранди – культура и биоразнообразие,Brazil,mixed,mixed_landscape,unesco,Paraty and Ilha Grande – Culture and Biodiversity,Парати и Илья-Гранди – культура и биоразнообразие,
missing_image,Ennedi Massif: Natural and Cultural Landscape,Природно-культурный ландшафт горного плато Эннеди,Chad,mixed,mixed_landscape,unesco,Ennedi Massif: Natural and Cultural Landscape,Природно-культурный ландшафт горного плато Эннеди,
missing_image,Xinjiang Tianshan,Синьцзян-Тяньшань,China,natural,mountain,unesco,Xinjiang Tianshan,Синьцзян-Тяньшань,
missing_image,Hubei Shennongjia,Шэньнунцзя в провинции Хубэй,China,natural,mountain,unesco,Hubei Shennongjia,Шэньнунцзя в провинции Хубэй,
missing_image,Qinghai Hoh Xil,Цинхай Хох-Сил,China,natural,mountain,unesco,Qinghai Hoh Xil,Цинхай Хох-Сил,
missing_image,Migratory Bird Sanctuaries along the Coast of Yellow Sea-Bohai Gulf of China,Ареалы обитания перелетных птиц вдоль побережья Желтого моря и Бохайского залива,China,natural,water,unesco,Migratory Bird Sanctuaries along the Coast of Yellow Sea-Bohai Gulf of China,Ареалы обитания перелетных птиц вдоль побережья Желтого моря и Бохайского залива,
missing_image,Chiribiquete National Park – “The Maloca of the Jaguar”,Национальный парк Чирибикете - «Малока клана Ягуара»,Colombia,mixed,mixed_landscape,unesco,Chiribiquete National Park – “The Maloca of the Jaguar”,Национальный парк Чирибикете - «Малока клана Ягуара»,
missing_image,"Gulf of Porto: Calanche of Piana, Gulf of Girolata, Scandola Reserve (Мысы Жиролата и Порто, природный резерват Скандола и скалистые бухты «каланки» у города Пьяна",остров Корсика,France,natural,forest,unesco,"Gulf of Porto: Calanche of Piana, Gulf of Girolata, Scandola Reserve","Мысы Жиролата и Порто, природный резерват Скандола и скалистые бухты «каланки» у города Пьяна (остров Корсика)",
missing_image,Chaîne des Puys - Limagne fault tectonic arena,Тектоно-вулканическая формация горной цепи Шен-де-Пюи и разлома Лимань,France,natural,mountain,unesco,Chaîne des Puys - Limagne fault tectonic arena,Тектоно-вулканическая формация горной цепи Шен-де-Пюи и разлома Лимань,
missing_image,Vatnajökull National Park - Dynamic Nature of Fire and Ice,Национальный парк Ватнайёкюдль – динамичная природа льда и огня,Iceland,natural,ice_cave,unesco,Vatnajökull National Park - Dynamic Nature of Fire and Ice,Национальный парк Ватнайёкюдль – динамичная природа льда и огня,
missing_image,Great Himalayan National Park Conservation Area,Национальный парк Грейт-Хималаян,India,natural,forest,unesco,Great Himalayan National Park Conservation Area,Национальный парк Грейт-Хималаян,
missing_image,The Ahwar of Southern Iraq: Refuge of Biodiversity and the Relict Landscape of the Mesopotamian Cities,Месопотамские болота на юге Ирака: центр биоразнообразия и реликтовые ландшафты городов Месопотамии,Iraq,mixed,mixed_landscape,unesco,The Ahwar of Southern Iraq: Refuge of Biodiversity and the Relict Landscape of the Mesopotamian Cities,Месопотамские болота на юге Ирака: центр биоразнообразия и реликтовые ландшафты городов Месопотамии,
missing_image,Isole Eolie (Aeolian Islands) (Эоловые,Липарские) острова,Italy,natural,water,unesco,Isole Eolie (Aeolian Islands),Эоловые (Липарские) острова,
missing_image,Shiretoko (Полуостров Сиретоко,остров Хоккайдо,Japan,natural,mountain,unesco,Shiretoko,Полуостров Сиретоко (остров Хоккайдо),
missing_image,Kenya Lake System in the Great Rift Valley,Система озер в Великой рифтовой долине,Kenya,natural,water,unesco,Kenya Lake System in the Great Rift Valley,Система озер в Великой рифтовой долине,
missing_image,Andrefana Dry Forests,Сухие леса Андрефана,Madagascar,natural,forest,unesco,Andrefana Dry Forests,Сухие леса Андрефана,
missing_image,El Pinacate and Gran Desierto de Altar Biosphere Reserve,Биосферный резерват Эль-Пинакате и Гран-Десьерто-де-Алтар,Mexico,natural,forest,unesco,El Pinacate and Gran Desierto de Altar Biosphere Reserve,Биосферный резерват Эль-Пинакате и Гран-Десьерто-де-Алтар,
missing_image,Tehuacán-Cuicatlán Valley: originary habitat of Mesoamerica,Долина Техуакан-Куйкатлан: Мезоамериканская естественная среда обитания,Mexico,mixed,mixed_landscape,unesco,Tehuacán-Cuicatlán Valley: originary habitat of Mesoamerica,Долина Техуакан-Куйкатлан: Мезоамериканская естественная среда обитания,
missing_image,Lena Pillars Nature Park,Природный парк «Ленские столбы»,Russian Federation,natural,forest,unesco,Lena Pillars Nature Park,Природный парк «Ленские столбы»,
missing_image,Barberton Makhonjwa Mountains,"Горная местность Барбертон, или горы Макхонджва",South Africa,natural,mountain,unesco,Barberton Makhonjwa Mountains,"Горная местность Барбертон, или горы Макхонджва",
missing_image,"Ibiza, Biodiversity and Culture (Остров Ибиса: биоразнообразие и культура",Балеарские острова,Spain,mixed,mixed_landscape,unesco,"Ibiza, Biodiversity and Culture",Остров Ибиса: биоразнообразие и культура (Балеарские острова),
missing_image,Sanganeb Marine National Park and Dungonab Bay – Mukkawar Island Marine National Park,Национальные морские заповедники «Санганеб» и «Бухта Дунгонаб – остров Мековар»,Sudan,natural,water,unesco,Sanganeb Marine National Park and Dungonab Bay – Mukkawar Island Marine National Park,Национальные морские заповедники «Санганеб» и «Бухта Дунгонаб – остров Мековар»,
missing_image,Laponian Area,Лапландия,Sweden,mixed,mixed_landscape,unesco,Laponian Area,Лапландия,
missing_image,St Kilda,Острова Сент-Килда,United Kingdom of Great Britain and Northern Ireland,mixed,mixed_landscape,unesco,St Kilda,Острова Сент-Килда,
missing_image,Henderson Island (Остров Хендерсон,Южная Океания,United Kingdom of Great Britain and Northern Ireland,natural,water,unesco,Henderson Island,Остров Хендерсон (Южная Океания),
missing_image,Trang An Landscape Complex,Ландшафтный комплекс Чанган,Viet Nam,mixed,mixed_landscape,unesco,Trang An Landscape Complex,Ландшафтный комплекс Чанган,
missing_image,High Coast / Kvarken Archipelago (Архипелаг Кваркен / «Высокий берег»,Ботнический залив,"Finland,Sweden",natural,water,unesco,High Coast / Kvarken Archipelago,Архипелаг Кваркен / «Высокий берег» (Ботнический залив),
missing_image,iSimangaliso Wetland Park – Maputo National Park,Водно-болотный район Cент-Лусия — Национальный парк Мапуто,"Mozambique,South Africa",natural,water,unesco,iSimangaliso Wetland Park – Maputo National Park,Водно-болотный район Cент-Лусия — Национальный парк Мапуто,
missing_image,Baa Atoll Biosphere Reserve,Биосферный резерват атолла Баа,Maldives,natural,water,unesco,Baa Atoll Biosphere Reserve,Биосферный резерват атолла Баа,
missing_image,Lag Badana National Park,Национальный парк Лаг-Бадана,Somalia,natural,forest,unesco,Lag Badana National Park,Национальный парк Лаг-Бадана,
missing_image,Boma National Park,Национальный парк Бома,South Sudan,natural,forest,unesco,Boma National Park,Национальный парк Бома,
missing_image,High Coast / Höga Kusten,Высокий берег,Sweden,natural,water,unesco,High Coast / Höga Kusten,Высокий берег,
missing_image,Funafuti Conservation Area,Заповедная зона Фунафути,Tuvalu,natural,mountain,unesco,Funafuti Conservation Area,Заповедная зона Фунафути,
missing_wiki_ru,Esteros del Iberá,Эстерос-дель-Ибера,Argentina,natural,water,,Iberá Wetlands,,https://upload.wikimedia.org/wikipedia/commons/6/6a/Flying_Over_Esteros_del_Iber%C3%A1_The_kingdom_of_water%2C_North-eastern_Argentina.jpg
missing_wiki_ru|missing_image,Chutes de Boali,Водопады Боали,Central African Republic,natural,water,,Boali Falls,,
missing_wiki_ru|missing_image,Hailuogou Glacier Park,Ледниковый парк Хайлуогоу,China,natural,ice_cave,,Hailuogou Glacier,,
missing_wiki_ru|missing_image,Seven Sisters Waterfall Grenada,Водопады «Семь сестёр» (Гренада),Grenada,natural,water,,Grand Etang National Park,,
missing_wiki_ru|missing_image,Bassin Bleu,Бассен-Блё,Haiti,natural,water,,Bassin-Bleu,,
missing_wiki_ru,Dzukou Valley,Долина Дзюкоу,India,natural,mountain,,Dzüko Valley,,https://upload.wikimedia.org/wikipedia/commons/f/f0/Dzuko_Valley_Guest_House.jpg
missing_wiki_ru,Hawraman Mountains,Горы Хавраман,Iran / Iraq,natural,mountain,,Avroman,,https://upload.wikimedia.org/wikipedia/commons/7/76/Hawraman_in_Iran_by_Mardetanha_%281%29_05.jpg
missing_wiki_ru,Gap of Dunloe,Гэп-оф-Данлоу,Ireland,natural,mountain,,Gap of Dunloe,,https://upload.wikimedia.org/wikipedia/commons/a/af/Gap_of_Dunloe%2C_facing_South.jpg
missing_wiki_ru,Monti Sibillini National Park,Национальный парк Монти-Сибиллини,Italy,natural,mountain,,Monti Sibillini National Park,,https://upload.wikimedia.org/wikipedia/commons/7/78/Montisibillini_flickr03.jpg
missing_wiki_ru|missing_image,Shiretoko Five Lakes,Пять озёр Сирэтоко,Japan,natural,water,,Shiretoko Five Lakes,,
missing_wiki_ru,Germia Park,Парк Гермия,Kosovo,natural,forest,,Germia Park,,https://upload.wikimedia.org/wikipedia/commons/c/c0/Germia_1.jpg
missing_wiki_ru|missing_image,Al Shaheed Park Natural Zone,Природная зона парка Аль-Шахид,Kuwait,natural,forest,,Al Shaheed Park,,
missing_wiki_ru|missing_image,Ubari Lakes,Озёра Убари,Libya,natural,water,,Ubari Sand Sea,,
missing_wiki_ru,Tsingy Rouge,Красные цинги,Madagascar,natural,mountain,,Tsingy Rouge,,https://upload.wikimedia.org/wikipedia/commons/4/40/Tsingy_Rouge-Ankarangona.jpg
missing_wiki_ru|missing_image,Blue Hole Malta,Голубая дыра (Мальта),Malta,natural,water,,Blue Hole (Gozo),,
missing_wiki_ru,Todra Gorge,Ущелье Тодра,Morocco,natural,desert,,Todgha Gorge,,https://upload.wikimedia.org/wikipedia/commons/c/c3/Todra_Gorge_Morning_2011.jpg
missing_wiki_ru|missing_image,Saba Marine Park,Морской парк Саба,Netherlands,natural,water,,Saba Marine Park,,
missing_wiki_ru,Cross River National Park,Национальный парк Кросс-Ривер,Nigeria,natural,forest,,Cross River National Park,,https://upload.wikimedia.org/wikipedia/commons/7/70/Kwafalls.jpg
missing_wiki_ru,Wadi Bani Khalid,Вади-Бани-Халид,Oman,natural,water,,Wadi Bani Khalid,,https://upload.wikimedia.org/wikipedia/commons/f/f0/Wadi_Bani_Khalid%2C_Om%C3%A1n%2C_2024-08-17%2C_DD_51.jpg
missing_wiki_ru|missing_image,Ngerukewid Islands Wildlife Preserve,Заповедник островов Нгерукевид,Palau,natural,water,,Ngerukewid Islands Wildlife Preserve,,
missing_wiki_ru,Tufi Fjords,Фьорды Туфи,Papua New Guinea,natural,water,,Tufi,,https://upload.wikimedia.org/wikipedia/commons/0/0f/Tufi_Town.jpg
missing_wiki_ru|missing_image,Fajardo Bioluminescent Bay,Биолюминесцентная бухта Фахардо,Puerto Rico,natural,water,,Laguna Grande (Fajardo),,
missing_wiki_ru|missing_image,Pigeon Island National Park,Национальный парк Пиджен-Айленд,Saint Lucia,natural,water,,"Pigeon Island, Saint Lucia",,
missing_wiki_ru,Al Wahbah Crater,Кратер Аль-Вахба,Saudi Arabia,natural,volcano,,Al Wahbah crater,,https://upload.wikimedia.org/wikipedia/commons/d/d2/Wahbah_Crater.jpg
missing_wiki_ru,Cabo de Gata-Níjar Natural Park,Природный парк Кабо-де-Гата-Нихар,Spain,natural,water,,Cabo de Gata-Níjar Natural Park,,https://upload.wikimedia.org/wikipedia/commons/4/4f/Arrecife_de_las_Sirenas.jpg
missing_wiki_ru,Fazao-Malfakassa National Park,Национальный парк Фазао-Мальфакасса,Togo,natural,forest,,Fazao Malfakassa National Park,,https://upload.wikimedia.org/wikipedia/commons/e/e0/Vue_de_la_montagne_%C3%A0_Fazao.jpg
missing_wiki_ru|missing_image,Mapuʻa Vaea Blowholes,Блоухолы Мапуа-а-Ваеа,Tonga,natural,water,,Mapuʻa Vaea,,
missing_wiki_ru|missing_image,Köw Ata Underground Lake,Подземное озеро Ков-Ата,Turkmenistan,natural,ice_cave,,Köw Ata Underground Lake,,
missing_wiki_ru,Mount Baker Wilderness,Дикая территория Маунт-Бейкер,United States,natural,mountain,,Mount Baker Wilderness,,https://upload.wikimedia.org/wikipedia/commons/c/c1/Twin_Sisters_Mountain_22103.JPG
missing_image,"Mbanza Kongo, Vestiges of the Capital of the former Kingdom of Kongo","Мбанза-Конго, остатки столицы бывшего королевства Конго",Angola,human,architecture,unesco,"Mbanza Kongo, Vestiges of the Capital of the former Kingdom of Kongo","Мбанза-Конго, остатки столицы бывшего королевства Конго",
missing_image,"ESMA Museum and Site of Memory – Former Clandestine Centre of Detention, Torture and Extermination","Музей и Мемориальный комплекс ЭСМА, бывший подпольный центр содержания под стражей, пыток и истребления",Argentina,human,architecture,unesco,"ESMA Museum and Site of Memory - Former Clandestine Centre of Detention, Torture and Extermination","Музей и Мемориальный комплекс ЭСМА, бывший подпольный центр содержания под стражей, пыток и истребления",
missing_image,Budj Bim Cultural Landscape,Культурный ландшафт Будж Бим,Australia,human,architecture,unesco,Budj Bim,Культурный ландшафт Будж Бим,
missing_image,Historic Centre of Sheki with the Khan’s Palace,Исторический центр Шеки вместе с Ханским дворцом,Azerbaijan,human,fortress,unesco,Historic Centre of Sheki with the Khan's Palace,Исторический центр Шеки вместе с Ханским дворцом,
missing_image,Cultural Landscape of Khinalig People and “Köç Yolu” Transhumance Route,Культурный ландшафт народа Хыналыг и маршрут перегона скота «Кёч-Йолу»,Azerbaijan,human,architecture,unesco,Cultural Landscape of Khinalig People and “Köç Yolu” Transhumance Route,Культурный ландшафт народа Хыналыг и маршрут перегона скота «Кёч-Йолу»,
missing_image,Qal’at al-Bahrain – Ancient Harbour and Capital of Dilmun,Археологические памятники Калат-аль-Бахрейн,Bahrain,human,archaeology,unesco,Qal'at al-Bahrain - Ancient Harbour and Capital of Dilmun,Археологические памятники Калат-аль-Бахрейн,
missing_image,Historic Bridgetown and its Garrison,Исторический Бриджтаун с его военными укреплениями,Barbados,human,architecture,unesco,Historic Bridgetown and its Garrison,Исторический Бриджтаун с его военными укреплениями,
missing_image,"The Four Lifts on the Canal du Centre and their Environs, La Louvière and Le Roeulx (Hainaut)","Четыре судоподъемника на канале Дю-Сантр и их окружение, Ля-Лувьер и Ле-Рейкс, провинция Эно",Belgium,human,engineering,unesco,"The Four Lifts on the Canal du Centre and their Environs, La Louvière and Le Roeulx (Hainaut)","Четыре судоподъемника на канале Дю-Сантр и их окружение, Ля-Лувьер и Ле-Рейкс, провинция Эно",
missing_image,Mehmed Paša Sokolović Bridge in Višegrad,Мост Мехмеда Паши Соколовича в Вышеграде,Bosnia and Herzegovina,human,engineering,unesco,Mehmed Paša Sokolović Bridge in Višegrad,Мост Мехмеда Паши Соколовича в Вышеграде,
missing_image,Rio de Janeiro: Carioca Landscapes between the Mountain and the Sea,Рио-де-Жанейро: ландшафты кариока между горами и морем,Brazil,human,architecture,unesco,Rio de Janeiro: Carioca Landscapes between the Mountain and the Sea,Рио-де-Жанейро: ландшафты кариока между горами и морем,
missing_image,São Francisco Square in the Town of São Cristóvão,Площадь Сан Франсиско в городе Сан Кристовао,Brazil,human,city,unesco,São Francisco Square in the Town of São Cristóvão,Площадь Сан Франсиско в городе Сан Кристовао,
missing_image,Valongo Wharf Archaeological Site,Археологический объект Причал Валонгу,Brazil,human,architecture,unesco,Valongo Wharf Archaeological Site,Археологический объект Причал Валонгу,
missing_image,Ancient Ferrous Metallurgy Sites of Burkina Faso,Памятники древней металлургии,Burkina Faso,human,archaeology,unesco,Ancient Ferrous Metallurgy Sites of Burkina Faso,Памятники древней металлургии,
missing_image,"Cidade Velha, Historic Centre of Ribeira Grande","Сидади-Велья, исторический центр Рибейра-Гранде",Cabo Verde,human,city,unesco,"Cidade Velha, Historic Centre of Ribeira Grande","Сидади-Велья, исторический центр Рибейра-Гранде",
